"No.","Protocol","Length","Time","Source","Info","Destination"
"1","UDP","82","0.000000000","127.0.0.1","48642  >  43003 Len=40","127.0.0.1"
"2","UDP","54","0.000021995","127.0.0.1","43003  >  48642 Len=12","127.0.0.1"
"3","UDP","1042","0.000048735","127.0.0.1","34089  >  42003 Len=1000","127.0.0.1"
"4","UDP","1042","0.000068675","127.0.0.1","42003  >  34089 Len=1000","127.0.0.1"
"5","UDP","1042","0.000089991","127.0.0.1","57602  >  44003 Len=1000","127.0.0.1"
"6","UDP","1042","0.000106022","127.0.0.1","44003  >  57602 Len=1000","127.0.0.1"
"7","UDP","82","0.000125618","127.0.0.1","41541  >  43003 Len=40","127.0.0.1"
"8","UDP","54","0.000133582","127.0.0.1","43003  >  41541 Len=12","127.0.0.1"
"9","UDP","1042","0.000149453","127.0.0.1","34143  >  42003 Len=1000","127.0.0.1"
"10","UDP","1042","0.000162004","127.0.0.1","42003  >  34143 Len=1000","127.0.0.1"
"11","UDP","1042","0.000178900","127.0.0.1","54545  >  44003 Len=1000","127.0.0.1"
"12","UDP","1042","0.000190058","127.0.0.1","44003  >  54545 Len=1000","127.0.0.1"
"13","UDP","82","0.000206503","127.0.0.1","35354  >  43003 Len=40","127.0.0.1"
"14","UDP","54","0.000213505","127.0.0.1","43003  >  35354 Len=12","127.0.0.1"
"15","UDP","1042","0.000229287","127.0.0.1","34859  >  42003 Len=1000","127.0.0.1"
"16","UDP","1042","0.000238756","127.0.0.1","42003  >  34859 Len=1000","127.0.0.1"
"17","UDP","1042","0.000254904","127.0.0.1","34953  >  44003 Len=1000","127.0.0.1"
"18","UDP","1042","0.000261868","127.0.0.1","44003  >  34953 Len=1000","127.0.0.1"
"19","UDP","82","0.000277627","127.0.0.1","55042  >  43003 Len=40","127.0.0.1"
"20","UDP","54","0.000284260","127.0.0.1","43003  >  55042 Len=12","127.0.0.1"
"21","UDP","1042","0.000300201","127.0.0.1","39552  >  42003 Len=1000","127.0.0.1"
"22","UDP","1042","0.000310027","127.0.0.1","42003  >  39552 Len=1000","127.0.0.1"
"23","UDP","1042","0.000326377","127.0.0.1","39896  >  44003 Len=1000","127.0.0.1"
"24","UDP","1042","0.000333142","127.0.0.1","44003  >  39896 Len=1000","127.0.0.1"
"25","UDP","82","2.507667625","127.0.0.1","40492  >  43003 Len=40","127.0.0.1"
"26","UDP","54","2.507732405","127.0.0.1","43003  >  40492 Len=12","127.0.0.1"
"27","UDP","1042","2.507809841","127.0.0.1","44837  >  42003 Len=1000","127.0.0.1"
"28","UDP","1042","2.507879183","127.0.0.1","42003  >  44837 Len=1000","127.0.0.1"
"29","UDP","1042","2.507945920","127.0.0.1","36603  >  44003 Len=1000","127.0.0.1"
"30","UDP","1042","2.508000220","127.0.0.1","44003  >  36603 Len=1000","127.0.0.1"
"31","UDP","82","2.508067583","127.0.0.1","34045  >  43003 Len=40","127.0.0.1"
"32","UDP","54","2.508093244","127.0.0.1","43003  >  34045 Len=12","127.0.0.1"
"33","UDP","1042","2.508147270","127.0.0.1","56682  >  42003 Len=1000","127.0.0.1"
"34","UDP","1042","2.508175606","127.0.0.1","42003  >  56682 Len=1000","127.0.0.1"
"35","UDP","1042","2.508227903","127.0.0.1","38539  >  44003 Len=1000","127.0.0.1"
"36","UDP","1042","2.508254877","127.0.0.1","44003  >  38539 Len=1000","127.0.0.1"
"37","UDP","82","2.508305855","127.0.0.1","46667  >  43003 Len=40","127.0.0.1"
"38","UDP","54","2.508327637","127.0.0.1","43003  >  46667 Len=12","127.0.0.1"
"39","UDP","1042","2.508378051","127.0.0.1","47033  >  42003 Len=1000","127.0.0.1"
"40","UDP","1042","2.508410601","127.0.0.1","42003  >  47033 Len=1000","127.0.0.1"
"41","UDP","1042","2.508462327","127.0.0.1","55369  >  44003 Len=1000","127.0.0.1"
"42","UDP","1042","2.508499707","127.0.0.1","44003  >  55369 Len=1000","127.0.0.1"
"43","UDP","82","2.508550899","127.0.0.1","37236  >  43003 Len=40","127.0.0.1"
"44","UDP","54","2.508571291","127.0.0.1","43003  >  37236 Len=12","127.0.0.1"
"45","UDP","1042","2.508622278","127.0.0.1","37130  >  42003 Len=1000","127.0.0.1"
"46","UDP","1042","2.508644037","127.0.0.1","42003  >  37130 Len=1000","127.0.0.1"
"47","UDP","1042","2.508702009","127.0.0.1","44875  >  44003 Len=1000","127.0.0.1"
"48","UDP","1042","2.508725855","127.0.0.1","44003  >  44875 Len=1000","127.0.0.1"
"49","UDP","82","3.010324643","127.0.0.1","44960  >  43003 Len=40","127.0.0.1"
"50","UDP","54","3.010354822","127.0.0.1","43003  >  44960 Len=12","127.0.0.1"
