"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","41340  >  43009 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804238694 TSecr=0 WS=128"
"2","0.000011659","127.0.0.1","127.0.0.1","TCP","74","43009  >  41340 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804238694 TSecr=2804238694 WS=128"
"3","0.000021200","127.0.0.1","127.0.0.1","TCP","66","41340  >  43009 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=2804238694 TSecr=2804238694"
"4","0.000034713","127.0.0.1","127.0.0.1","TCP","106","41340  >  43009 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=40 TSval=2804238694 TSecr=2804238694"
"5","0.000047551","127.0.0.1","127.0.0.1","TCP","66","43009  >  41340 [ACK] Seq=1 Ack=41 Win=43776 Len=0 TSval=2804238694 TSecr=2804238694"
"6","0.000060239","127.0.0.1","127.0.0.1","TCP","78","43009  >  41340 [PSH, ACK] Seq=1 Ack=41 Win=43776 Len=12 TSval=2804238694 TSecr=2804238694"
"7","0.000067509","127.0.0.1","127.0.0.1","TCP","66","41340  >  43009 [ACK] Seq=41 Ack=13 Win=43776 Len=0 TSval=2804238694 TSecr=2804238694"
"8","0.000088200","127.0.0.1","127.0.0.1","TCP","74","58988  >  42009 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804238694 TSecr=0 WS=128"
"9","0.000092530","127.0.0.1","127.0.0.1","TCP","74","42009  >  58988 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804238694 TSecr=2804238694 WS=128"
"10","0.000097110","127.0.0.1","127.0.0.1","TCP","66","58988  >  42009 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=2804238694 TSecr=2804238694"
"11","0.000105078","127.0.0.1","127.0.0.1","TCP","1066","58988  >  42009 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=1000 TSval=2804238694 TSecr=2804238694"
"12","0.000108129","127.0.0.1","127.0.0.1","TCP","66","42009  >  58988 [ACK] Seq=1 Ack=1001 Win=45696 Len=0 TSval=2804238694 TSecr=2804238694"
"13","0.000192078","127.0.0.1","127.0.0.1","TCP","91","42009  >  58988 [PSH, ACK] Seq=1 Ack=1001 Win=45696 Len=25 TSval=2804238694 TSecr=2804238694"
