"No.","Protocol","Length","Time","Source","Info","Destination"
"1","TCP","74","0.000000000","127.0.0.1","56972  >  43002 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=0 WS=128","127.0.0.1"
"2","TCP","74","0.000013922","127.0.0.1","43002  >  56972 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=2804770971 WS=128","127.0.0.1"
"3","TCP","66","0.000024712","127.0.0.1","56972  >  43002 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"4","TCP","106","0.000040962","127.0.0.1","56972  >  43002 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=40 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"5","TCP","66","0.000055629","127.0.0.1","43002  >  56972 [ACK] Seq=1 Ack=41 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"6","TCP","78","0.000070511","127.0.0.1","43002  >  56972 [PSH, ACK] Seq=1 Ack=41 Win=43776 Len=12 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"7","TCP","66","0.000079579","127.0.0.1","56972  >  43002 [ACK] Seq=41 Ack=13 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"8","TCP","74","0.000105791","127.0.0.1","37022  >  42002 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=0 WS=128","127.0.0.1"
"9","TCP","74","0.000111304","127.0.0.1","42002  >  37022 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=2804770971 WS=128","127.0.0.1"
"10","TCP","66","0.000116783","127.0.0.1","37022  >  42002 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"11","TCP","1066","0.000126833","127.0.0.1","37022  >  42002 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=1000 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"12","TCP","66","0.000130428","127.0.0.1","42002  >  37022 [ACK] Seq=1 Ack=1001 Win=45696 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"13","TCP","91","0.000238943","127.0.0.1","42002  >  37022 [PSH, ACK] Seq=1 Ack=1001 Win=45696 Len=25 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"14","TCP","66","0.000249908","127.0.0.1","37022  >  42002 [ACK] Seq=1001 Ack=26 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"15","TCP","74","0.000271062","127.0.0.1","54582  >  44002 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=0 WS=128","127.0.0.1"
"16","TCP","74","0.000275724","127.0.0.1","44002  >  54582 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=2804770971 TSecr=2804770971 WS=128","127.0.0.1"
"17","TCP","66","0.000280724","127.0.0.1","54582  >  44002 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"18","TCP","1066","0.000289546","127.0.0.1","54582  >  44002 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=1000 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"19","TCP","66","0.000292465","127.0.0.1","44002  >  54582 [ACK] Seq=1 Ack=1001 Win=45696 Len=0 TSval=2804770971 TSecr=2804770971","127.0.0.1"
"20","TCP","130","0.000422491","127.0.0.1","44002  >  54582 [PSH, ACK] Seq=1 Ack=1001 Win=45696 Len=64 TSval=2804770972 TSecr=2804770971","127.0.0.1"
"21","TCP","66","0.000433660","127.0.0.1","54582  >  44002 [ACK] Seq=1001 Ack=65 Win=43776 Len=0 TSval=2804770972 TSecr=2804770972","127.0.0.1"
